"text","label","task_id"
"is-numeric s: 	true 	try: 		drop to-num s 	catch value-error: 		not   for v in [ ""1"" ""0"" ""3.14"" ""hello"" ""12e3"" ""12ef"" ""-3"" ]: 	!.( v is-numeric v )",216,0
"using Color, Images, FixedPointNumbers   const M_RGB_Y = reshape(Color.M_RGB_XYZ[2,:], 3)   function rgb2gray(img::Image)     g = red(img)*M_RGB_Y[1] + green(img)*M_RGB_Y[2] + blue(img)*M_RGB_Y[3]     g = clamp(g, 0.0, 1.0)     return grayim(g) end   function gray2rgb(img::Image)     colorspace(im",389,0
"/*REXX program implements a sleep sort (with numbers entered from the command line (CL).*/ numeric digits 300                               /*over the top,  but what the hey!     */                                                  /*  (above)  ··· from vaudeville.      */ @.=",685,0
"type point = { x : float; y : float }     let cmpPointX (a : point) (b : point) = compare a.x b.x  let cmpPointY (a : point) (b : point) = compare a.y b.y      let distSqrd (seg : (point * point) option) =   match seg with   | None -> max_float   | Some(line) ->     let a = fst line in     let b",572,0
"#include <algorithm> #include <iostream>   /* AVL node */ template <class T> class AVLnode { public:     T key;     int balance;     AVLnode *left, *right, *parent;       AVLnode(T k, AVLnode *p) : key(k), balance(0), parent(p),                         left(NULL), right(NULL) {}       ~AVLnode() {",133,0
"$ include ""seed7_05.s7i"";   include ""bigint.s7i"";   include ""bigrat.s7i"";   const type: mTerms is array array bigInteger;   const array mTerms: testCases is [] (     [] ([] ( 1_, 1_,   2_), [] ( 1_, 1_,   3_)),     [] ([] ( 2_, 1_,   3_), [] ( 1_, 1_,   7_)),     [] ([] ( 4_, 1_,   5_), [] (-1_, 1_,",753,0
"#include <iostream>   const int WIDTH = 81; const int HEIGHT = 5;   char lines[WIDTH*HEIGHT];   void cantor(int start, int len, int index) { 	int seg = len / 3; 	if (seg == 0) return; 	for (int i = index; i < HEIGHT; i++) { 		for (int j = start + seg; j < start + seg * 2; j++) { 			int pos = i * WID",133,0
"Local mynum, myfunc",807,0
"define mean(v);     lvars n = length(v), i, s = 0;     if n = 0 then         return(0);     else         for i from 1 to n do             s + v(i) -> s;         endfor;     endif;     return(s/n); enddefine;",642,0
"sd(u,v)={   my(r=List());   u=vecsort(u,,8);   v=vecsort(v,,8);   for(i=1,#u,if(!setsearch(v,u[i]),listput(r,u[i])));   for(i=1,#v,if(!setsearch(u,v[i]),listput(r,v[i])));   Vec(r) }; sd([""John"", ""Serena"", ""Bob"", ""Mary"", ""Serena""],[""Jim"", ""Mary"", ""John"", ""Jim"", ""Bob""])",592,0
"@echo off setlocal enabledelayedexpansion   set ""extensions=.zip .rar .7z .gz .archive .A##""   :loop if ""%~1""=="""" exit /b set onlist=0   for %%i in (%extensions%) do if /i ""%~x1""==""%%i"" set onlist=1   if %onlist%==1 (   echo Filename: ""%~1"" ^| Extension: ""%~x1"" ^| TRUE ) else (   echo Filename: ""%",101,0
